Unnamed: 0,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),car_age,price_per_km
85,2018 Mahindra Scorpio S11,2018,Comprehensive,Diesel,7,47000,First Owner,Manual,2018,15.4,2179.0,2179.0,13678.0,14.5,8,30.851063829787233
86,2020 Kia Seltos GTX DCT,2020,Comprehensive,Petrol,5,59316,First Owner,Automatic,2020,16.2,1353.0,1353.0,138.0,13.99,6,23.585541843684673
87,2021 Toyota Yaris J BSIV,2021,Comprehensive,Petrol,5,48000,Third Owner,Manual,2021,17.1,1496.0,1496.0,1055.0,6.95,5,14.479166666666666
88,2023 BMW 5 Series 530i M Sport BSVI,2023,Zero Dep,Petrol,5,20000,First Owner,Automatic,2023,14.82,1998.0,1998.0,24808.0,65.0,3,325.0
89,2020 Renault KWID Climber 1.0 AMT Opt,2020,Third Party insurance,Petrol,5,12503,First Owner,Automatic,2020,22.0,999.0,999.0,67.0,5.15,6,41.190114372550596
90,2021 Jeep Compass 1.4 Sport BSVI,2021,Comprehensive,Petrol,5,10000,First Owner,Manual,2021,14.3,1368.0,1368.0,16077.0,15.95,5,159.5
91,2011 Maruti Swift 1.2 VXi BSII,2011,Comprehensive,Petrol,5,73717,Second Owner,Manual,2011,16.1,1197.0,1197.0,85.0,2.41,15,3.2692594652522486
93,2017 Honda Jazz V CVT,2017,Comprehensive,Petrol,5,17000,First Owner,Automatic,2017,17.1,1199.0,1199.0,8850.0,5.95,9,35.0
94,2014 Hyundai Grand i10 AT Asta,2014,Comprehensive,Petrol,5,36047,First Owner,Automatic,2014,18.9,1197.0,1197.0,82.0,4.32,12,11.984353760368409
95,2018 Maruti Wagon R CNG LXI,2018,Comprehensive,CNG,5,45000,First Owner,Manual,2018,998.0,5833.0,5833.0,78.0,4.45,8,9.88888888888889
97,2016 Hyundai i10 Sportz,2016,Comprehensive,Petrol,5,50000,Second Owner,Manual,2016,20.36,1197.0,1197.0,789.0,3.45,10,6.9
98,2018 Maruti Swift VXI,2018,Comprehensive,Petrol,5,51000,First Owner,Manual,2018,22.0,1197.0,1197.0,8180.0,5.5,8,10.784313725490197
99,2018 Mahindra XUV500 W5,2018,Third Party,Diesel,7,62000,Second Owner,Manual,2018,2179.0,15287.0,15287.0,360.0,8.5,8,13.709677419354838
